session,id,message,class,A,B,underline,smiley,caps,5 5 treatment,Player,table,
3,2,It’s much more likely that I’ll roll a 2–6 and thus get more money then if we dont roll or choose out I promise that I won’t cheat you and that I’ll choose to roll :),p,in,r,0,1,0,1,b,1,
3,3,Tee hee this is kinda Twilight Zone – ism; Why not go for it eh? I hope you have a lovely evening as well ,e,out,r,0,0,0,1,b,1,
3,4,Hello fair stranger anonymous partner  Choose whatever you want Far be it from me to influence your decision but I think you should choose in and I should choose roll and we should take the chance at both earning as much as we can 5 chances out of 6 say it’ll work and I’m totally broke looking to rake in stray cash however I can I feel the luck in the airI dont really have much else to say Hope you’re doing well whoever you areYesThat’s all Random note from random human ,e,in,r,0,0,0,1,b,1,
3,5,Both of ‘us’ can earn,e,in,dr,0,0,0,1,b,1,
3,6,Ok You’re probably thinking lets chose out and I’ll at least get 5 bucks But…Chose ‘IN’ and I WILL chose to rollThe probability that I will roll a 2345 or 6 is pretty high and I think worthy of trying for (I have no way of assuring you that I will roll but its probably worth going for you’ll get $12 for finding out where I could get $10) x I WILL ROLL,p,in,r,0,0,1,1,b,1,
3,7,I will roll so if you stay in you’ve got a 5/6 chance of getting $12If you dont mind the risk if you stay in we’ll both probably get more than $5  Pretty cool to get money eh? I’m kinda bored Hope you’ve had a great day so far My country Tis of Thee Sweet Land of Liberty Of Thee I sing Land where my fathers died Land of the Pilgrim’s Pride On every mountainside Let freedom ring George W Bush wants you to go in! Bin Laden says out! :),p,in,r,1,1,0,1,b,1,
3,8,Lets together get the most $ out of this that we can ⇒ you12 0 05 me 10 10 14 5 I promise not to do this one ⇑ me 10 10 14 5 I promise not to do this one ⇑ I promise I will choose to roll You can have the extra $2 bucks It’s good karma Thanks I will choose ROLL in any case considering I will get the same amount no matter what you choose as long as you choose  IN please excuse the awful handwriting I’m trying,p,in,dr,0,0,0,1,b,1,
3,9,I’m choosing ROLL which gives you a chance to get $12 instead of $5 so stay It’s a risk but you could end up getting a lot more ,p,in,r,0,0,1,1,b,1,
3,10,If you choose in then I’m going to choose roll This gives you a 5/6 chance of getting 12 dollars That is 7 more than if you choose out Since the money is free anyway – why not believe me I’m dont lie – I promise I will choose roll ,p,in,r,0,0,0,1,b,1,
3,11,If you choose IN you have the best opportunity to make the most money You have a 5/7 chance of making more money! So IN would be your best bet Cheers ;),e,in,dr,1,1,1,1,b,1,
3,12,Choose IN I promise I’ll ROLL,p,out,r,0,0,1,1,b,1,
1,1,If you choose to be in this then I’ll choose to roll That way we both receive more money because it’s likely that he will roll 2345 or 6 rather than 1 I’m willing to bet this if you will ;) In return you will probably receive $12! ,p,in,r,0,1,0,0,b,2,
1,2,Choose IN and you get 12 − 7 = $5 more (most probably) and I can get 10 − 7 = $3 more Please think about it! ,e,in,dr,0,0,1,0,b,2,
1,3,Hi I hope you’re having a great day! And I hope that we will both be able to make some money! ,e,out,dr,0,0,0,0,b,2,
1,4,I’m going to choose roll I’d rather have $10 than $7 I promise I won’t screw you over and pick dont roll! ,p,out,r,1,0,0,0,b,2,
1,5,I solemnly promise that I WILL choose Roll (If I dont—you can hit me) (That means you might want to choose in) (This is Pareto optimal) ,p,in,r,1,0,1,0,b,2,
1,6,CHOOSE IN SO WE CAN ROLL AND GET $12 AND $10 ,e,out,dr,0,0,1,0,b,2,
1,7,Hello Buddy I would rather have $10 than $7there is such a small chance he’ll roll a 1it’s totally worth the risk Do you like Pina Coladas? And getting caught in the rain? Me too ,e,out,dr,0,0,0,0,b,2,
1,8,,n,out,r,0,0,0,0,b,2,
1,9,,n,out,dr,0,0,0,0,b,2,
1,10,Hi A Hope you are having a nice day! I think I shall choose roll so you can hope for a number 2345 or 6 if you choose IN,e,out,r,0,0,1,0,b,2,
1,11,If you choose IN I’ll roll the die (it maximizes profit 12 + 10 = 22 vs any other option) ,p,in,dr,0,0,1,0,b,2,
1,12,,n,out,dr,0,0,0,0,b,2,
1,13,,n,out,dr,0,0,0,0,b,2,
1,14,Hi I’m choosing Roll If we were doing this many times on average you would get (5/6) ∗ $12 = $10 > $7 but it’s riskierAnyways it’s your choice but I dont like to screw people and I believe in the Golden Rule,p,in,r,1,0,0,0,b,2,
1,15,I’m still trying to decide what I want to doNot sure ,e,out,dr,0,0,0,0,b,2,
1,16,Hello!,e,out,dr,0,0,0,0,b,2,
1,17,Have a happy day :),e,out,dr,0,1,0,0,b,2,
2,1,You can trust meI will Roll I figure you have a 5/6 chance to get $12—that’s a high probability Let’s try to get the 12 and 10 dollars,p,in,r,1,0,0,0,b,2,
2,2,Don’t choose out & we’ll make more $ ,e,out,dr,1,0,0,0,b,2,
2,3,I am going to roll I promise :),p,out,r,0,1,0,0,b,2,
2,4,Choose In & I’ll choose Roll; we’ll have a 5 out of 6 chance of both getting big payouts ,p,out,dr,0,0,0,0,b,2,
2,5,Hope you have a nice weekend! ;),e,in,dr,0,1,0,0,b,2,
2,6,I will definitely choose ROLL ,p,in,r,0,0,1,0,b,2,
2,7,Hi! ;) If you choose IN I will choose roll (I’ll choose roll no matter what assuming you chose roll) and then you’ll have a 5/6 chance of getting $12 (so we’ll each get about the same) ,p,out,r,0,1,1,0,b,2,
2,8,Choose IN because then I will choose Roll and there is a 5/6 chance that the die will roll a 2345 or 6 That way you will receive $5 more than if you were to choose out ,p,out,r,0,0,1,0,b,2,
2,9,,n,in,dr,0,0,0,0,b,2,
2,10,,n,out,dr,0,0,0,0,b,2,
2,11,I’m going to choose roll Choose in ,p,in,r,0,0,0,0,b,2,
2,12,I’m choosing Roll and hoping that you choose in I doubt it will be a 1 and if you choose in we will both get more money I’m not concerned about you getting $2 more than me just that we both can maximize our earnings in the fairest way Trust me I won’t screw you I have morals and I’d feel bad ,p,in,r,0,0,0,0,b,2,
2,13,Take a chance Good Luck ;),e,out,dr,0,1,0,0,b,2,
2,14,I’ll be picking Roll so if you want you should pick In ,p,out,r,0,0,0,0,b,2,
2,15,If nothing is better than life And cheese is better than nothing Is cheese better than life? Interesting isn’t itOK I will win money no matter what so I am not about to screw you over On my word I guarantee I will roll That’s it I am rolling MY WORD is said!,p,in,r,0,0,1,0,b,2,
2,16,Hey this is your B pairHey this is your B pair I am going to roll (though I cannot promise that I am not going to roll 1 :) ) So just ROLL,p,in,r,0,1,1,0,b,2,
2,17,I dont have anything to say except that I will roll the die Good Luck! ,p,in,dr,0,0,0,0,b,2,
2,18,Gonna roll high odds of both getting good payoff I’m all for trying to get the best outcome for both of us ,p,in,r,1,0,0,0,b,2,
3,1,Writing messages is the best Still I’m confused Can’t wait till Summer I’m bored To the center this goes ,e,in,dr,0,0,0,0,b,2,
3,2,I will make a decision where we both get money ,e,in,dr,0,0,0,0,b,2,
3,3,I will choose roll for two reasons 1) you need an incentive to not pick Out I would much rather have $10 than $72) I assume you are here because you are poor like me and I derive no plea- sure from getting 4 more dollars at the expense of you getting nothing I swear on my mother’s grave I am choosing ROLL,p,in,r,0,0,1,0,b,2,
3,4,Good afternoon I will choose ROLL ,p,out,dr,0,0,1,0,b,2,
3,5,Quote the wisdom of Fred Durst: Keep on rollin’ baby You know what time it is! Do it you and buy yourself a Jamba Juice later :),e,out,r,1,0,0,0,b,2,
3,6,If you choose IN I’ll choose roll Let’s take this guy for as much as possible ;),p,in,r,0,1,1,0,b,2,
3,7,Hopefully we both walk out of here with more than $5 ,e,in,r,0,0,0,0,b,2,
3,8,Hello! It’s such a beautiful day and I hope you are having a wonderful day :),e,out,dr,0,1,0,0,b,2,
3,9,I will honestly choose Roll if you choose IN We both have the best chances at making money since the odds of rolling a one are only 1 in 6 and it doesn’t matter if you make 2 more dollars than me as long as I get $10 for sure ,p,in,r,0,0,0,0,b,2,
3,10,I will choose to ROLL If you choose IN and rely that it won’t be a 1 you will receive 12 dollars I swear that I chose to ROLL Please choose IN I am willing to only get 10 dollars so you can get 12 I promise that I have chosen to ROLL 83% chance you will get 12 dollars ,p,in,r,1,0,1,0,b,2,
3,11,Choose in and I will roll That way we’ll both get extra money ,p,out,r,1,0,0,0,b,2,
3,12,;) Hi,e,out,dr,0,1,0,0,b,2,
3,13,This is free money! Let’s go for it!,e,in,dr,0,0,0,0,b,2,
3,14,CHOOSE IN ,e,out,dr,0,0,1,0,b,2,
1,1,,,out,r,0,0,0,1,a,3,
1,2,Let’s share & Roll Yey money wahoo cool :),,in,r,0,1,0,1,a,3,
1,3,Good chance I’ll be getting screwed over here cuz I’ll be going IN  But taking the chance and interested in whether I’ll lose out big here or not  Care to help me out? If not no bigs I’d probably go for $14 if I was B tooSo either way I understand  go for 14 if you’d like  I’m for sure going IN ,,in,dr,0,0,1,1,a,3,
1,4,Mathematically you’re ahead no matter what I do so let’s gamble! ,,out,r,0,0,0,1,a,3,
1,5,Choose roll! ,,in,dr,0,0,0,1,a,3,
1,6,,,out,dr,0,0,0,1,a,3,
1,7,You can’t lose! :) but you can take a chance and sacrifice four dollars for both of us to go home happy The decision is yours :) Best of luck ,,in,dr,0,1,0,1,a,3,
1,8,Hello B! I’m going to choose IN hoping that you’d choose ROLL I’m assuming that you’re not a selfish type to choose dont roll to only benefit yourself I’m going to choose IN hoping that you’d choose ROLL I’m assuming that you’re not a selfish type to choose dont roll to only benefit yourself So  hopefully by me choosing IN and you choosing ROLL we’ll both get at least $10 (I’m willing to take the risk of getting $0) Bye! :),,in,r,1,1,1,1,a,3,
1,9,I like the computer-based experiments better—this game has a low pay-off and takes TOO long! ,,out,r,1,0,1,1,a,3,
1,10,Let’s roll! Chances will be the results will be good for at least one of us Right? ,,in,dr,0,0,0,1,a,3,
1,11,Your most rational choice is to choose dont roll My most ratio- nal decision is out I’ve given up gambling so I’m going with out Sorry Enjoy the $10,,out,dr,0,0,0,1,a,3,
1,12,Please choose to roll! That way we’ll both have a chance to get some extra money instead of just $5 :),,in,r,0,1,0,1,a,3,
1,13,Hey this is beer money Be cool and choose to roll You’re the difference between Natty Ice and something better ,,in,r,0,0,0,1,a,3,
1,14,Hi I am choosing IN I would like you to roll If you roll I have a chance of making more than $5 You will make more than $5 in any case as I will select roll Thanks!,,in,dr,0,0,1,1,a,3,
1,15,Dear B I came to participate in this exp because I am low on cash really low Have you ever been in that position? Please be nice and we’ll both make $ :),,in,dr,0,1,0,1,a,3,
1,16,,,out,dr,0,0,0,1,a,3,
1,17,PLEASE! Choose to Roll that way we can both have a chance of winning any money No matter what happens if you Roll you will get $10 Please dont be selfish and choose not to Roll Feel sorry for me! ,,in,r,1,0,1,1,a,3,
1,18,,,out,dr,0,0,0,1,a,3,
2,1,Let’s make this beneficial for both of us …  (a condition where we would both win something) :),,in,dr,0,1,0,1,a,3,
2,2,I will choose to opt in please choose to roll it will be good for both of us I’m trusting that you will do the right thing and not leave me with anything but opting in I risk getting nothing if you roll a 1 please trust me I am trusting you!! ,,in,dr,1,0,0,1,a,3,
2,3,Please roll :),,in,r,0,1,0,1,a,3,
2,4,Let’s do it! Let’s roll!!! I am in!,,in,r,0,0,0,1,a,3,
2,5,Cut me some slack I’m really broke Please roll the dice ,,in,r,0,0,0,1,a,3,
2,6,,,in,dr,0,0,0,1,a,3,
2,7,Let’s make this fun please pick roll ,,in,r,0,0,0,1,a,3,
2,8,Better be Safe than Sorry ,,out,r,0,0,0,1,a,3,
2,9,Please roll & then I will choose in & we can both have a greater chance of winning 7 if it happens that you roll 2345 or 6 I can give you $4 so that you won’t lose out @ allThanks ,,in,dr,1,0,0,1,a,3,
2,10,I need to go to Albertsons so lets aim for money ,,in,r,0,0,0,1,a,3,
2,11,Roll … you are guaranteed at least a ten ,,in,dr,0,0,0,1,a,3,
2,12,If I were to choose out we would both only get $5 but if I choose in you are guaranteed to receive more than 5 dollars I am going to choose in so that you have a higher chance at getting money Please choose roll so that we will both get more money hope- fully I think we could split the money so we both have a really good chance of getting $11 or a guarantee of $5 each ,,in,dr,0,0,0,1,a,3,
2,13,I’m deciding if you’re greedy or not If you are you’re gonna choose dont roll and screw me over where I get nothing & you get 14 If you’re not greedy you’re not greedy & want to help me I’ll help you too I want us both to win Be kind ,,in,dr,0,0,0,1,a,3,
2,14,If you choose Roll and it is not a 1 result I will give you $4 ,,in,r,0,0,0,1,a,3,
2,15,Choose roll so we can both get paid ,,in,dr,0,0,0,1,a,3,
3,1,,,in,dr,0,0,0,1,a,3,
3,2,It would be nice of you to choose ROLL so we both get money & can have a happy Memorial day weekend yey! D Go 23456 you can do it ,,in,r,0,1,1,1,a,3,
3,3,An elephant never forgets ,,out,dr,0,0,0,1,a,3,
3,4,Do you want to go in or out? It’d be nice if we both got $ ,,out,r,0,0,0,1,a,3,
3,5,Probably going to choose out just to make sure I get something substantial out of this session Hope ya dont mind too much! ,,out,dr,0,0,0,1,a,3,
3,6,Please choose roll ,,in,dr,0,0,0,1,a,3,
3,7,,,out,dr,0,0,0,1,a,3,
3,8,I am going to play conservatively and choose out ,,out,dr,0,0,0,1,a,3,
3,9,I promise to choose in This way we both get more money You’re guaranteed $10 as opposed to $5 & I have a 5/6 chance of getting $12 & a 1/6 chance of getting $0 I’m ok with these odds though! PLEASE choose roll! I’m putting myself on the line here dont let me leave here with $0 earnings Thanks a lot,,in,dr,1,0,1,1,a,3,
3,10,GOOD LUCK! :),,in,dr,0,1,1,1,a,3,
3,11,,,out,r,0,0,0,1,a,3,
3,12,,,out,dr,0,0,0,1,a,3,
3,13,I am choosing IN in order to ensure you will make $15 I would ask that you show the same consideration and choose to ROLL so I am not left with only $5 Together we can both walk away with a fair amount of money Thanks in advance ,,in,dr,1,0,1,1,a,3,
,,,,,,,,,,,,
